Team,BrandValue,Year
Kolkata Knight Riders,58.6,2017
Mumbai Indians,54.1,2017
Sunrisers Hyderabad,46.5,2017
Royal Challengers Bangalore,44.4,2017
Delhi Capitals,40.5,2017
Punjab Kings,36.2,2017
Chennai Super Kings,65.0,2018
Kolkata Knight Riders,62.0,2018
Sunrisers Hyderabad,54.0,2018
Mumbai Indians,53.0,2018
Royal Challengers Bangalore,49.0,2018
Delhi Capitals,44.0,2018
Rajasthan Royals,43.0,2018
Punjab Kings,40.0,2018
Chennai Super Kings,75.31,2019
Kolkata Knight Riders,66.48,2019
Mumbai Indians,65.65,2019
Sunrisers Hyderabad,59.6,2019
Delhi Capitals,54.21,2019
Royal Challengers Bangalore,50.76,2019
Rajasthan Royals,43.41,2019
Punjab Kings,41.7,2019
Mumbai Indians,65.65,2019
Chennai Super Kings,75.31,2019
Kolkata Knight Riders,66.48,2019
Sunrisers Hyderabad,59.6,2019
Delhi Capitals,54.21,2019
Royal Challengers Bangalore,50.76,2019
Punjab Kings,41.7,2019
Rajasthan Royals,43.41,2019
Mumbai Indians,69.56,2020
Chennai Super Kings,59.66,2020
Kolkata Knight Riders,57.7,2020
Sunrisers Hyderabad,56.98,2020
Delhi Capitals,51.58,2020
Royal Challengers Bangalore,49.3,2020
Punjab Kings,37.51,2020
Rajasthan Royals,35.58,2020
Mumbai Indians,69.56,2020
Chennai Super Kings,59.66,2020
Kolkata Knight Riders,57.7,2020
Delhi Capitals,51.58,2020
Sunrisers Hyderabad,56.98,2020
Royal Challengers Bangalore,49.3,2020
Punjab Kings,37.51,2020
Rajasthan Royals,35.58,2020
Mumbai Indians,79.54,2021
Chennai Super Kings,75.57,2021
Kolkata Knight Riders,65.53,2021
Delhi Capitals,55.75,2021
Sunrisers Hyderabad,52.05,2021
Royal Challengers Bangalore,50.26,2021
Punjab Kings,35.75,2021
Rajasthan Royals,33.63,2021
Mumbai Indians,79.54,2021
Kolkata Knight Riders,65.53,2021
Chennai Super Kings,75.57,2021
Royal Challengers Bangalore,50.26,2021
Delhi Capitals,55.75,2021
Rajasthan Royals,33.63,2021
Sunrisers Hyderabad,52.05,2021
Punjab Kings,35.75,2021
Mumbai Indians,82.97,2022
Kolkata Knight Riders,76.78,2022
Chennai Super Kings,73.63,2022
Royal Challengers Bangalore,68.02,2022
Delhi Capitals,62.4,2022
Rajasthan Royals,61.31,2022
Sunrisers Hyderabad,48.82,2022
Gujarat Titans,47.42,2022
Punjab Kings,44.97,2022
Lucknow Super Giants,31.82,2022
Mumbai Indians,82.97,2022
Chennai Super Kings,73.63,2022
Royal Challengers Bangalore,68.02,2022
Gujarat Titans,47.42,2022
Rajasthan Royals,61.31,2022
Sunrisers Hyderabad,48.82,2022
Mumbai Indians,87.04,2023
Chennai Super Kings,80.55,2023
Kolkata Knight Riders,78.58,2023
Royal Challengers Bangalore,69.75,2023
Gujarat Titans,65.4,2023
Delhi Capitals,64.09,2023
Rajasthan Royals,62.49,2023
Sunrisers Hyderabad,48.24,2023
Lucknow Super Giants,46.98,2023
Punjab Kings,45.26,2023
Chennai Super Kings,80.55,2023
Mumbai Indians,87.04,2023
Royal Challengers Bangalore,69.75,2023
Kolkata Knight Riders,78.58,2023
Sunrisers Hyderabad,48.24,2023
Rajasthan Royals,62.49,2023
Delhi Capitals,64.09,2023
Gujarat Titans,65.4,2023
Punjab Kings,45.26,2023
Lucknow Super Giants,46.98,2023
Chennai Super Kings,122.09,2024
Mumbai Indians,118.66,2024
Royal Challengers Bangalore,116.63,2024
Kolkata Knight Riders,108.51,2024
Sunrisers Hyderabad,84.76,2024
Rajasthan Royals,81.46,2024
Delhi Capitals,79.7,2024
Gujarat Titans,68.53,2024
Punjab Kings,67.63,2024
Lucknow Super Giants,60.47,2024
